	Label	135765 isomer2	16-Hydroxyhexadecanoic acid	1-monostearin labeled	"2,3-Diaminopropionic acid"	2-Coumaric acid	2'-Deoxyadenosine1	2'-Deoxyadenosine2	2-Methylpropanal	"3-Amino-2,3-dihydrobenzoic acid"	3-Hydroxyphenylacetate	3-Indoleacetonitrile	3-Methyladenine	3-Nitro-L-Tyrosine	4-Coumaric acid	4-Methylumbelliferone	5-Aminolevulinic acid	5-Aminopentanoic acid	5-Dehydroquinic acid	6-deoxyglucose	Acetaminophen glucuronide	Adenosine	adrenaline	alanine-alanine1	alanine-alanine2	Ascorbic acid	Asparagine minor	Azelate	"Benzen-1,3-Dicarboxylic acid"	Benzoate	beta-hydroxymyristic acid	beta-sitosterol	Brucine	Caffeine	cerotinic aci	chenodeoxycholic acid	Chlorogenic acid	cis-Aconitic acid	Cystamine1	Cystamine2	Cysteamine1	Cysteamine2	Cysteinylglycine	cystine minor	Deoxyguanosine	D-Fucose	D-Glutamine	digalacturonic acid1	digalacturonic acid2	DL-Homocystine	D-Maltose	D-Panose	D-Ribose1	D-Ribose2	D-Ribose3	D-Trehalose1	D-Trehalose2	D-Trehalose3	D-Trehalose4	D-Trehalose5	D-Xylulose1	D-Xylulose2	Epinephrine1	Epinephrine2	Galactitol	Galacturnonate	Gallic acid	gamma-Linolenic acid	Gluconolactone	Glutaric acid	Glyceraldehyde-3-phosphate	Glycerol	glycyl tyrosine	Harmaline	Histamine	histidine	Homocystine1	Homocystine2	Homovanillate	Hypotaurine	Indoleacetic acid	isoheptadecanoic acid NIST	isohexonic acid	Isopentenyladenosine	L-Ascorbic acid1	L-Ascorbic acid2	L-Aspartic acid3	L-Aspartic acid4	L-Cysteine1	L-Cysteine2	L-Glutamic acid	L-Glutamine	L-Homocysteine	Linoleic acid	lithocholic acid	L-Leucine	L-Lysine	L-Prolinamide	L-Proline	L-Rhamnose	L-Tyrosine1	L-Tyrosine2	L-Tyrosine3	Malonic acid	Maltose	maltotriose1	Maltotriose2	Maltotriose3	Maltotriose4	Melibiose1	Melibiose2	melibiose minor	Menaquinone	methionine sulfoxide minor	Myricetin	N-Acetylglucosamine	N-Acetylleucine	N-Acetylneuraminic acid	N-acetylornithine	Nonadecanoic acid methyl ester1	Nonadecanoic acid methyl ester2	nonanoic acid	noradrenaline	Octacosanoic acid	octadecylglycerol	O-Phospho-L-serine1	O-Phospho-L-serine2	ornithin	Paeonol	palatinitol	Palmitic acid1	Palmitic acid2	Panose_1_minor	Panose_2	Phosphorylcholine	Phthalic acid	Phytol_mixture of isomers	Pimelic acid	Protocatechuic acid	Psoralen	Purine	Putrescine	Pyridoxamine	Pyrocatechol	Pyrogallol	Quinolinic acid	Rhamnose	"Ribulose 1,5-bisphosphate_1"	serotonin1	Serotonin2	Serotonin3	Shikimic acid	Similar_catechin	Sinapyl aldehyde	sophorose minor	Spermidine1	Spermidine2	Spermidine3	Spermidine4	Spermine	spermine major	Stearic acid1	Stearic acid2	Sucrose	Tartarate	Taurine	tetracosane	tocopherol alpha	tranexamic acid	Trans-Aconitate	Tryptamine1	Tryptamine2	Tryptophan	Tyramine1	Tyramine2	Uridine1	Uridine2	xylose
6H-KNO3-R4	6H	89258.33	8.80E+08	386487.1	675431.8	2007573	252602.5	1.70E+07	8.26E+07	1.99E+07	689285.1	1530094	3.95E+07	9139742	61262.11	86989.11	50527.43	287947.7	1525929	1.99E+07	339561.9	1180730	1483624	835768.6	1.01E+07	93463.47	8.94E+08	8.80E+08	277552.7	3.30E+07	1787097	115781.1	2598246	0	3.94E+07	15046.26	6571480	2671258	24170.46	181490.7	1555086	1696429	4.21E+08	5.12E+08	235095.6	2387871	1215.772	3622890	1132191	3.32E+07	5100207	590854.6	1078680	283423.3	3551693	0	521181.3	35476.91	100782.1	73314.46	599444.4	439792.7	1.04E+07	8610712	7.74E+07	609260.8	173935.2	246078.3	2770082	3.37E+07	2641515	3.61E+07	2141499	3101691	5952987	6131.962	521047	1072338	3172406	617512.4	812419.5	19205.18	1.51E+07	148211.5	3.50E+08	1.51E+07	1.44E+07	2.53E+07	7037066	2635085	8.09E+07	4704252	133976.9	64569.01	909949.3	276573.3	126533.9	3.30E+07	143091.8	3.82E+07	960220.3	2.82E+08	4788899	86608.38	3.82E+07	2.53E+07	104551.3	2281692	7.79E+07	2.53E+07	2598250	1.09E+09	4.75E+08	217937	370170	632907.8	4906968	86021.98	737689.3	1080991	1.13E+07	4145514	126994.3	6941303	1078859	5492.618	787360.9	82820.54	380673	3.00E+09	5031297	669651.8	1255326	933255.9	5.26E+07	3.37E+07	327604.2	1292347	1512171	900919.3	1.35E+07	292391	5.99E+07	2486675	3917837	404517.3	1489674	0	212116.6	1141507	8.04E+07	733279.8	1342913	1789220	606720.9	1396043	7277230	4788899	5.12E+08	55786.05	80286.72	1288295	1.07E+07	2325963	1288295	3.14E+07	126533.9	499482.8	616789.3	6471967	211108.1	3.51E+07	1.98E+07	2.81E+07	8.04E+07	0	6572418	1788731
6H-KNO3-R5	6H	55472.38	4.50E+08	538437.2	185523.1	153527.8	272861.1	1.27E+07	4.21E+07	1.85E+07	1108217	1705771	3.80E+07	9306247	584279.3	71299.52	54065.57	46176.85	1136665	1.85E+07	3156357	1316628	857043.8	691629.3	2.11E+07	370739.1	4.50E+08	4.50E+08	374639.6	1.06E+08	5968038	15007.19	727084.9	1621655	3.80E+07	588936.4	3415034	1971939	3198054	177671.4	2145783	1.11E+07	4.29E+08	5.15E+08	259645.1	4.94E+07	143720.8	2110690	291623.2	3.20E+07	5610615	459268.8	877563.6	232491.2	3791814	3961155	259821.8	19999.77	59654.51	1016359	480342.5	858070.8	1.36E+07	1.37E+07	8.51E+07	445121.3	1199568	461394.6	2465375	4.26E+07	2888310	2.94E+07	2044911	2326667	2281179	31031.21	370956.1	596210.4	7415232	837842.1	304130.1	8972258	1.14E+07	10227.39	3.08E+08	1.73E+07	1.01E+07	1.93E+07	640471.8	2397068	5.25E+07	4105178	39082.98	608506.1	67225.02	197989.5	2541.885	3.18E+07	228494.7	2.50E+07	1018809	3.08E+08	5174553	51921.23	3.43E+07	1.93E+07	85113.2	1.26E+08	7.45E+07	1.93E+07	1146935	0	4.40E+08	147949.7	268443.9	296221.5	2008749	56990.78	52727.78	692669.8	128673.4	1136085	84339.46	4803389	712360.6	26839.2	602705.6	205669.3	457555	3.07E+09	1397088	480487.1	956351.9	714983.3	4.95E+07	4.26E+07	40028.82	86015.28	1235603	954709.4	1.34E+07	286866.4	5.29E+07	4.21E+07	2402569	16152.23	3.18E+07	3.07E+09	134005.7	2242984	4.12E+07	1092746	706049.5	1119205	320778.3	1093649	2514123	5174553	5.15E+08	433819	67008.48	1544053	1445222	2177155	1544053	1.06E+08	73203.38	1759803	76230.99	5960135	110544.2	3.29E+07	1.07E+07	3.01E+07	4.12E+07	1430433	5501951	1496560
6H-UKNO3-R1	6h+U	108826.8	7.38E+08	491099.9	438235.8	6979618	319181.6	3.14E+07	6379460	3.44E+07	1844761	1.66E+07	6.87E+07	1.30E+07	742545.8	46062.07	73328.87	127193.6	1618390	3.44E+07	423476.8	1007316	3254094	1118928	1.50E+07	8318111	7.31E+08	7.40E+08	915950.3	2.05E+08	1.18E+07	172283.9	949626.3	1071067	6.89E+07	1699212	7523687	523461.4	7912254	241376.7	2211141	1.45E+07	7457041	6.87E+08	254315.9	2855648	54680.67	5799953	1358847	6.10E+07	1.16E+07	1142768	1776583	416042.2	2130206	4751311	867575.4	73032.52	123386	2086664	1540305	2643976	1.27E+07	2.96E+07	1.54E+08	813873.8	76322.14	1149949	5045659	7.11E+07	8549658	5.27E+07	2318987	5039913	2568355	188319.6	866354.4	1295092	3.24E+07	2643976	4.52E+07	1.95E+07	3.03E+07	21826.83	8.42E+07	3.28E+07	3.30E+07	6.17E+07	3887700	9222115	8.49E+07	5641785	13751.92	113305.4	935784.3	384905.9	3626.123	4.25E+07	497331	3.92E+07	1897140	4.34E+08	1.51E+07	79072.55	7.17E+07	6.17E+07	94856.38	6639050	1.47E+08	6.17E+07	2.01E+07	8.12E+08	4.06E+08	28808.96	364217.1	565579.7	2.04E+07	108826.8	5184708	601748	524010.3	2032731	170583.6	1.32E+07	2698121	7941.118	1639808	106989	2564393	3.66E+09	1974241	1322377	2684795	874172.3	8.45E+07	2.28E+07	13552.7	510549.3	2045540	3381300	3.36E+08	8114007	7.58E+07	8.47E+07	1879277	86432.74	5168538	3.66E+09	162824.5	2274449	5.40E+07	1197641	559176.5	1118835	547320.2	1314859	1.12E+07	1.53E+07	6.87E+08	1407407	183678.4	5200180	1629197	6738003	612483.8	4.10E+07	36433.97	4152397	525374.8	1.96E+07	604551.6	3.32E+07	1.88E+07	1.90E+07	5.40E+07	1100186	1.31E+07	2251419
6h-UKNO3-R2	6h+U	147996.7	3.07E+08	680486	203910.8	1.64E+07	527635	6790.747	6441304	3.52E+07	4009053	3.74E+07	6.94E+07	2.25E+07	968948.5	367514.5	126641.2	116116.1	1438097	3.52E+07	153637.3	688130.3	6782289	2002482	1.17E+07	1987057	3.07E+08	2.99E+08	1682174	4.98E+08	1.18E+07	173363.6	2533398	1281946	74853.86	1398287	2371078	610852.2	4.58E+07	141802.8	1998415	2.25E+07	6.70E+08	8.75E+08	295094.8	9.60E+07	63245.84	5414910	1124446	1.92E+08	1143018	825444.4	1826886	426107.3	2321935	4785972	881477.2	34492	90829.54	2130170	1519753	3160217	9.51E+07	9.51E+07	9.77E+07	302629.9	483289.2	1194920	4310665	1.01E+08	5214683	5.42E+07	2463482	6407220	3513166	279276.9	315295.5	2421797	8.33E+07	3160217	5.42E+07	1.14E+07	2.84E+07	497172.5	6.70E+08	1.84E+07	2.66E+07	5.09E+07	1.46E+07	1710937	7570301	8386452	214641.2	100316	1411635	340505.2	7252.647	1.89E+07	1792770	3.16E+07	1190401	4.02E+08	3.06E+07	584675.8	8.39E+07	5.09E+07	169192	4669829	1.24E+08	5.09E+07	6.66E+07	7.92E+08	3.63E+08	504154.8	429150.6	468828.5	1.93E+07	145475.1	5150450	28321.53	94569.9	282585.8	550915.3	1.19E+07	3053818	145638.8	2087145	268507.9	6017176	3.71E+09	1331146	1240205	2822903	1092052	0	1.01E+08	116801.9	1145842	2056774	4514157	4.85E+08	3308817	0	5.89E+07	1725352	131831.4	1.93E+07	3.71E+09	292028.9	4791482	1.22E+08	1216164	549409.3	1244989	815947.9	4.91E+07	3301145	3.06E+07	1.24E+08	172161.7	222438.6	2449367	1470350	8543737	2449367	4.98E+08	9005.266	545432.3	667889.8	1.82E+07	248108.3	3.41E+07	3578961	5.42E+07	1.22E+08	8.33E+07	4307926	1209496
6H-UKNO3-R3	6h+U	117489.8	6.56E+08	929602.9	387021.1	1940138	295363.8	2.98E+07	5.44E+07	3.13E+07	7895115	3.05E+07	6.92E+07	1.61E+07	594677.4	110859.9	69277.77	129006.7	1736808	3.13E+07	1496990	812180.9	4458275	369331.6	1.20E+07	3295741	6.21E+08	7.79E+08	1661641	3.74E+08	1.12E+07	219816.2	372755.2	1180999	6.94E+07	1331512	3557762	499106	7191586	206997.2	2179293	3.10E+07	5.74E+08	6.62E+08	259696.7	3213317	2715.852	1.21E+07	1496990	8.35E+07	0	1046286	1770612	454826	1793419	4294788	756796.3	78066.83	110972.1	2117464	1527286	5.24E+07	1.24E+07	3.01E+07	1.01E+08	1020168	1190621	1145493	4783897	6.67E+07	8485052	4.95E+07	2298990	5952744	2320814	247250.2	540934.7	1531477	7.24E+07	2640355	3.90E+07	1.91E+07	3.48E+07	658815.3	1.59E+08	2.47E+07	2.91E+07	5.26E+07	6393911	9215127	7.34E+07	5479415	214784.2	134805.6	103641.4	397274.4	7069.613	4.14E+07	881809.3	3.07E+07	2813783	4.22E+08	1.49E+07	111637.1	7.54E+07	5.23E+07	3474.511	5096264	1.38E+08	5.23E+07	1.89E+07	6.76E+08	3.17E+08	15653.81	335149.9	457619.4	1.42E+07	117489.8	5214704	0	561092.9	1672157	162152.7	1.57E+07	2611880	6351.401	2092471	250382.7	8242056	3.70E+09	2711944	1406057	2747961	13339.03	8.70E+07	6.69E+07	91808.7	408498.4	2121363	3527332	3.31E+08	3484575	7.61E+07	7.34E+07	1465218	81670.81	4.14E+07	3.70E+09	9406.467	2571598	1.06E+08	1306152	510643.4	828683.8	516222.3	1366398	9437007	1.52E+07	6.62E+08	865663.1	216125.8	350367.7	2386302	6784988	4636227	3.74E+08	25078.11	4191725	1089611	2.00E+07	332592.2	3.31E+07	1027270	2.93E+07	1.06E+08	7.30E+07	7906706	1662197
6h-UKNO3-R4	6h+U	140783	6.60E+08	585788.4	400695.2	4.71E+07	756044.4	8910.72	8.54E+07	2.55E+07	4325414	4.73E+07	6.95E+07	2.53E+07	1068953	1645122	76792.32	9293.884	1783197	2.55E+07	734138.4	909798.3	9509435	1910757	0	8902363	0	6.60E+08	1564486	5.81E+08	1.19E+07	160171.3	2677550	1002872	6.95E+07	55310.87	1083201	3374895	5.64E+07	215596	1515658	2.48E+07	7.69E+08	7.76E+08	291037.6	9.50E+07	3434.34	3.35E+07	1358366	0	1056043	862892.1	1822002	11024.77	1966280	5015559	504769.1	33282	100505.1	2331605	1549242	1610672	37681.85	1.45E+08	1.08E+08	373717.9	495668.8	1170308	4032094	9.50E+07	7414375	4.20E+07	1863540	6517787	2929815	474268.6	292493.1	4053981	5.27E+07	864119.7	4.27E+07	7440241	3.07E+07	850490.8	7.69E+08	4.63E+07	4282789	6.25E+07	1.80E+07	7688402	8287185	6639822	174828.6	35492.11	1392157	250418.5	3331.526	5492396	449980.9	1.05E+08	2459248	4.19E+08	3.38E+07	935234.8	8.75E+07	6.25E+07	39909.76	7542842	9.84E+07	6.26E+07	8.76E+08	5.15E+08	5.19E+08	561805.8	353400	372343.4	2.46E+07	138254.8	5058568	6411.926	1326985	5581688	20398.54	1.22E+07	3249033	130072.5	2053073	838726.2	1.30E+07	3.71E+09	369850.6	1560709	2842959	836464.9	4.11E+07	9.50E+07	40650.9	20624.84	2109722	4774881	3.78E+08	7528021	8.78E+07	8523805	787083.8	59122.45	5492396	3.71E+09	196011.3	6826179	1.66E+08	1053374	154033.5	606950.9	298986.7	417574.4	2172085	3.38E+07	7.76E+08	60980.62	228126	3709609	2566747	8086964	3789452	5.81E+08	3605.957	4314245	431299.4	0	211831.9	3.30E+07	1.26E+07	6.73E+07	1.66E+08	5.27E+07	5738613	679292.9
6H-UKNO3-R5	6h+U	100325.5	9.08E+08	268898.5	80209.06	3605357	480098.2	6533544	6.21E+07	2.06E+07	876341	965625.2	3.93E+07	6308631	343386.2	111699.8	35565.09	313563.8	732844.6	2.06E+07	476178.4	1319177	1336224	1342837	1777091	107435.4	9.08E+08	9.03E+08	336042.9	7.83E+07	1984694	95320.25	3113397	977728.9	3.92E+07	332458.7	5296705	453053.1	8210277	275141.9	1574652	6308631	3.73E+08	5.21E+08	251274.2	2357410	2930.034	2393284	406301.8	3.09E+07	565938.3	572164.4	779563	362609.8	3510948	87956.22	505826.4	68832.48	126757.6	1515773	734605	1259063	1.24E+07	9514250	4.97E+07	1033025	371079.8	242786.8	3078196	2.63E+07	8236418	3.33E+07	230609.9	3595257	3003578	4344.513	502798.9	1170101	1.15E+07	1234711	3.32E+07	7812299	1.79E+07	10719.68	3.93E+08	0	1.46E+07	2.32E+07	1598622	816480.4	6.21E+07	7299873	137057.2	49413.3	839487.1	289917.2	50730.04	3.30E+07	106406.4	1.86E+07	878226.9	3.21E+08	5882625	44639.62	3.98E+07	2.32E+07	1313.744	3081779	3.30E+07	2.32E+07	1.12E+07	0	3.59E+08	34306.34	6087.835	376461.7	3971725	117410.8	862346.2	266021.3	1.42E+07	288995.6	102903.6	7974422	1645867	13374.42	1462021	67119.24	710065.9	2.61E+09	5674283	627988.9	1270859	884516.8	4.55E+07	0	279166.1	2389050	1653521	1015686	9158684	1221768	4.19E+07	2571833	2590579	440529.2	3.39E+07	2.61E+09	95286.02	1345604	1.00E+08	89157.59	963489.9	1411665	401391.7	585437.3	8271473	5882625	5.21E+08	61495.84	155883.6	1773242	1.16E+07	2620783	1773242	7.83E+07	9029.475	402248.7	1522477	7040506	0	2.58E+07	2315727	1.77E+07	9.94E+07	1.15E+07	5293542	1956281
96h-KNO3-R1	96H	115110.9	0	344769.5	1305723	4.29E+07	37328.75	2.54E+07	1.39E+07	3.14E+07	1767850	1.23E+07	6.39E+07	6272347	116181	974309.9	6379.922	122998.2	411327.5	3.12E+07	593908.9	895411.3	6087351	1511713	5557048	4.86E+07	0	0	5311111	3.74E+08	1.11E+07	93983.26	432789.8	5150504	6.39E+07	466324.5	3245662	485382	4.22E+07	264317.5	1610065	6272347	5.85E+08	6.43E+08	230491.8	5.37E+07	985.3668	2.87E+07	620104.8	1.02E+08	0	693228.6	2503279	289041.6	1730872	6130022	961288.8	42057.75	117624.6	2967402	1084574	1737035	1.31E+07	1.24E+08	1.35E+08	68835.15	108309	5259.999	5655998	1.03E+08	8477728	4859.126	1101445	1.15E+07	1592040	918490.1	1174559	636038.1	3.15E+07	1715519	1.28E+07	1.84E+07	1.17E+07	427972.2	4.40E+08	83710.87	3.60E+07	6.02E+07	1.35E+07	6489560	1.37E+07	6221001	322201.6	227250.9	1112251	312723.3	30218.24	72391.75	1159351	2052140	42967.31	3.34E+08	27039.05	1633376	5.49E+07	6.02E+07	12214.8	3136212	6.43E+08	6.02E+07	8.53E+08	6.81E+08	5.12E+08	0	335049.3	271021.6	1.51E+07	113328.3	4671202	11883.83	154408.5	160146	111027.1	1.07E+07	2483821	109171.6	2618887	180705.7	1.24E+07	3.42E+09	278742.1	1206386	159001.8	743189.6	5.51E+07	1.03E+08	13060.8	241288.3	1689442	7721701	1.94E+08	4.79E+07	7.04E+07	1.39E+07	932049.6	120438.5	6998.946	3.42E+09	8364.849	6344821	1.12E+08	125816.1	200482.2	609183.3	433048.8	3.70E+07	572059.4	2.86E+07	6.43E+08	13064.3	149389.5	6316.691	2073352	6488235	3707.904	3.74E+08	47923.61	3285353	1715206	9622222	143711.6	3.89E+07	413848.1	3.14E+07	1.12E+08	6481414	9193723	1549049
96H-KNO3-R2	96H	138524.9	8.29E+08	259630.7	55081.66	3527991	260576.5	5148156	6.06E+07	1.61E+07	1007554	1275513	4.55E+07	3940872	53231.52	115361.7	40347.42	325843.1	478533.8	1.61E+07	629823.9	1128194	1437606	1266860	3073651	155047.7	8.29E+08	8.15E+08	172492.3	1.72E+07	2095718	87020.91	431593	5645302	4.55E+07	352826.4	4641335	3218115	5145822	451193.2	1825750	3940872	3.67E+08	5.70E+08	250816.4	2576682	1153.947	2391872	366094.6	2.11E+07	5469614	479051.8	1440869	251725.3	3184317	5276405	813420.2	7639.791	196038.6	958836.3	676941.8	936378.2	1.00E+07	1.01E+07	4.79E+07	420826.2	901131.3	266922.4	2845052	2.73E+07	9440573	3.40E+07	1132254	3454791	4479089	40953.34	739548.8	1072353	1364523	895925.1	1053114	1.02E+07	1.38E+07	173594.3	3.25E+08	5.77E+07	1.88E+07	1.76E+07	38866.09	973929.6	2279555	6948371	137856.5	67971.94	269147	341050.4	97919.36	3.12E+07	328391.2	1.55E+07	917559.4	2.98E+08	3328636	108786.8	71582.76	1.76E+07	43309.79	7.49E+07	4.59E+07	1.79E+07	2689025	1.01E+09	3.71E+08	288780.4	350821.9	371619.1	4795580	138524.9	878141	223613.5	1.56E+07	83012.33	125094.1	9763748	1768504	42315.25	2516364	121327.1	755357.3	2.64E+09	704488.3	660932.5	1409879	948348.3	3.11E+07	2.73E+07	275405.3	2815812	1832183	1065990	8412487	3623984	5.26E+07	2279555	2802576	459733.3	3.20E+07	0	15303.83	1599263	9.99E+07	1375096	1030964	1324362	404571.5	573760.3	2382361	3427210	5.70E+08	4994.014	169374.9	1194900	1.21E+07	2852292	1186268	2.46E+07	77446.21	451602.3	1577873	5392066	275906.7	3.65E+07	2327027	4.95E+07	9.99E+07	445035	4641424	1521312
96H-KNO3-R3	96H	105029.7	9.46E+08	480125.7	110128.2	2861479	46544.6	3857542	6.50E+07	1.99E+07	327758.3	1436428	677525	4060889	691251.8	102517.6	3431.601	270905.9	390567.5	1.99E+07	405659	1188089	1534124	232025.7	1.19E+07	210323.3	9.46E+08	9.46E+08	123245.9	6.17E+07	1686211	82944.76	3138567	766150.6	4.30E+07	709093.1	8362571	2465736	6851796	183290.7	1589386	4060889	3.63E+08	0	207919.3	2420309	40316.83	2245860	0	3.29E+07	0	393790.8	1166331	190641.3	3327164	5059858	748517.2	10433.56	151192.5	2259087	577993.3	739725.5	7894869	9609609	5.74E+07	634114.3	1769125	5079.44	2797076	2.93E+07	5760808	3.13E+07	1625008	336327.8	5452551	53102.11	503830.1	596378.8	7847615	422052.8	1753499	5375631	1.33E+07	142578.9	4.79E+08	5.98E+07	2.31E+07	3.24E+07	1193442	720074.7	6.71E+07	5998611	87416.78	26307.21	865669.1	231309	4025.661	3.95E+07	261323.7	1.94E+07	817048.8	3.26E+08	3842823	59662.8	2.27E+07	3.24E+07	110872.3	1926402	4.35E+07	3.24E+07	9483651	9.78E+08	3.61E+08	8545.949	298687.1	476429.8	8421079	104751.8	708718.2	1280818	1.32E+07	3951522	96074.2	9413721	1314807	49947.26	2290450	167469	568977.6	3.03E+09	4538911	615815.9	1307651	802017.4	3.31E+07	2.93E+07	356831.6	902811.4	1437260	1440931	1.10E+07	1394253	5.16E+07	6.71E+07	2463864	377633	3.98E+07	3.03E+09	275469.9	1195974	9.27E+07	1384723	1038544	1807550	435558.1	1531925	2384136	3842823	5.52E+08	66446.07	156738.4	951069.8	1.11E+07	2498697	970785.9	8421079	127416.3	717648	1211977	6350054	143438	3.33E+07	2920745	5.68E+07	9.27E+07	7847615	7442471	1389020
96H-KNO3-R4	96H	121071.6	4.69E+08	0	138168.4	2092648	284780	1.09E+07	4.00E+07	0	517336.8	1389135	4.51E+07	503597.9	348356.3	66048.53	67386.74	73065.71	603817.9	2.32E+07	346830	673264.8	1719791	1030505	9452342	132128.4	4.69E+08	4.65E+08	708369.3	4.67E+07	9447109	15811.29	755208.4	821848.1	4.51E+07	883526.8	0	3444280	3871457	117295.3	1837462	5498476	4.52E+08	5.78E+08	395817	5.64E+07	1730.212	2492527	346830	3.43E+07	1.03E+07	441137.9	1560177	229786.9	3407535	4371001	603743.9	18795.33	8898.917	781146.4	598976.9	545492.7	0	1.31E+07	6.04E+07	679763.5	733688	52268.41	2938289	2.99E+07	2486415	3.07E+07	1662797	3030825	2789434	10458.85	654563.1	1242731	6330240	581379.8	250502.5	1.12E+07	1.43E+07	253500.2	3.16E+08	1.71E+07	2.45E+07	3.31E+07	5102137	3180321	4.00E+07	5987590	75916.5	66104.66	735725.7	353886.9	3900.196	0	221150.9	3.17E+07	786813.8	3.44E+08	2257663	122947.3	3.35E+07	3.28E+07	99062.11	1.32E+08	1.52E+08	3.31E+07	8888401	8.73E+08	3.52E+08	456512.8	311492.3	332933.1	5141562	121071.6	3669024	461688.5	263992.5	481507.4	167804.4	7119259	1910189	8589.571	2258902	215850.3	461834.7	0	1333654	742257.5	48190.67	794016.3	5.64E+07	8.73E+07	5677.342	6830.918	2025258	1736776	1.14E+07	224708.7	6.09E+07	3.21E+07	3328777	49536.79	2.78E+07	2.86E+09	177277.3	1525490	6.43E+07	673708.5	1230281	1246043	487358.5	1023972	1428268	5607397	5.78E+08	971529	118434.2	1991735	1008615	3180321	1991735	2.65E+07	125471.9	2104631	1060603	6776783	302635.7	3.70E+07	7969873	2.29E+07	6.43E+07	2224620	581108.8	1685724
96H-KNO3-R5	96H	144826.1	1.91E+08	332027.8	1393214	2.93E+07	68028.45	3.06E+07	6.82E+07	2.32E+07	3589497	2.07E+07	8.15E+07	1.42E+07	440892.5	285445.1	120121.3	142547.7	831165	2.32E+07	1165555	626375.5	5788322	1806639	1.24E+07	3447583	1.91E+08	1.91E+08	1793334	3.39E+08	1.14E+07	139709.4	3035635	1190731	8.15E+07	1963339	2447501	3319572	0	120827.1	1953236	1.42E+07	5.81E+08	9.03E+08	328653.4	6.65E+07	2603.564	5941499	578865.4	1.47E+08	2.11E+07	560103.4	3089414	287271.9	2061173	633217.3	1199663	22956.34	144321.8	3296710	1313601	894950.1	1.68E+07	3.31E+07	1.08E+08	374748	487397.6	1150336	1655903	1.53E+08	6284282	5.15E+07	2520215	6225436	0	275517.4	388169.3	1996583	5.38E+07	904376.1	5.15E+07	2.53E+07	2.05E+07	323119.1	5.81E+08	1.61E+07	4.15E+07	5.52E+07	1.27E+07	6601890	6450106	3423346	186524.5	1719815	1191956	200598.9	34623.99	2.07E+07	427592	4.82E+07	1105635	3.93E+08	2.53E+07	1000153	5.60E+07	5.52E+07	70377.78	3576183	9.03E+08	5.52E+07	6.13E+07	9.04E+08	5.77E+08	395431.4	444574	369815.2	1.83E+07	142247.9	0	127017.8	700871.9	385764.9	113883.1	1.18E+07	3224981	165041.9	3801354	571198.4	9986590	3.85E+09	3001996	1230552	2902522	1035974	0	1.14E+08	25122.67	1061782	2081806	6550054	4.39E+08	3530531	1.08E+08	6.82E+07	1702559	86907.89	1.10E+07	3.85E+09	278805.5	5580601	1876382	1337464	479779	1066507	760478.4	4.35E+07	1624677	2.53E+07	9.03E+08	172445.1	281100.5	0	1526401	8555482	1.40E+07	3.39E+08	4640.57	4562593	737738	1.51E+07	221249.4	4.67E+07	3156535	4.67E+07	1.09E+08	5.46E+07	4297957	2787069
96H-U_KNO3-R3	96H+U	59661.32	4.50E+08	467323.8	315925.3	3239865	216556.7	1.07E+07	3.44E+07	1.28E+07	1393172	2033426	3.20E+07	1818481	266303.5	77016.35	52073.22	48824.65	600113.8	1.28E+07	1676293	811450.8	505976.5	656624.2	1.45E+07	182932.2	4.50E+08	4.50E+08	593161.6	1.60E+08	5670777	22081.02	2018191	561195.5	3.20E+07	718829.2	3398182	2069322	1.33E+07	140137.7	1823588	5287486	2.84E+08	5.08E+08	9345.997	1.65E+07	40800.95	1243985	1668339	3.81E+07	4100208	307490.3	1656624	196200.6	3587946	6072686	1729377	5864.241	80057.21	2580539	466346.6	760246	1.96E+07	1.97E+07	3.91E+07	434937.4	1129188	508291.9	2639693	4.76E+07	2831116	2.12E+07	1134585	2478159	1629055	39009.37	400155.3	876605.8	1.44E+07	420789.6	318105.8	5623396	1.22E+07	249630.6	2.84E+08	1.47E+07	1.31E+07	2.76E+07	9881002	869155.8	3170550	3887129	71310.81	570951.6	546007.6	146625.1	73966.83	3.14E+07	155861.9	1.30E+07	1054045	3.20E+08	6896224	32873.14	21358.26	2.74E+07	87628.47	1.06E+08	7.72E+07	2.76E+07	7355275	1.37E+09	3.73E+08	158992.6	188268.5	271681.3	2455836	59237.61	1922309	893409.2	236159.5	1116658	85538.13	4321810	637684.5	4503.732	776985.8	254861.8	664928.3	2.23E+09	1331059	385472.5	1141806	757118.2	1.36E+07	1.10E+07	18577.17	15068.6	1191468	1650950	2.22E+08	217192.4	2.83E+07	2945976	2444302	53340.73	3.12E+07	2.23E+09	143110.3	1556982	4.02E+07	1131640	718231.6	1379728	221063.3	1477145	1050992	1691936	5.08E+08	649325.1	69874.64	1294389	1261981	2129003	1294389	1.60E+08	73966.83	1629708	569653.3	5285110	82621.52	2.86E+07	9394672	2.23E+07	4.02E+07	206717	3355007	972168.1
